in Usteri, Ann.	Ann. Bot. (Usteri)
Annot. Cat. Vasc. Pl. W. Pakistan & Kashmir	Fl. W. Pakistan Annot. Cat.
in Schkuhr, Riedgr.	Beschr. Riedgräs.
in Hook. f. Fl. Antarct.	Bot. Antarct. Voy. I. (Fl. Antarct.).
Fl. Antarct.	Bot. Antarct. Voy. I. (Fl. Antarct.).
Bot. App.	Narr. Journey Polar Sea [Franklin]
in Richards. in Frankl. Narr.	Narr. Journey Polar Sea [Franklin]
in Richards. Frankl. Narr.	Narr. Journey Polar Sea [Franklin]
in Richards. in Frankl. Narr. Ist Journ.	Narr. Journey Polar Sea [Franklin]
in Richards. App. Frankl. Journ.	Narr. Journey Polar Sea [Franklin]
Bot. Porto Rico	Sci. Surv. Porto Rico & Virgin Islands
in Utsunomiya-Nogaku-Kenkyukaishi	Bull. Coll. Agric. Utsunomiya Univ.
in Utsunomiya-Nogakukai-Kaishi	Bull. Coll. Agric. Utsunomiya Univ.
in Utsunomiya-Nogaku-Kaishi	Bull. Coll. Agric. Utsunomiya Univ.
Bull. Soc. Nat. Mosc., Biol.	Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol.
Catalogus	Cat. Gew. Buitenzorg (Blume)
Consp. Syst. Tithymalus As. Med.	Sist. Obzor Molochaev Sredn. Azii
in Wight, Contrib.	Contr. Bot. India [Wight]
Fl. Egypte	Descr. Egypte, Hist. Nat.
Fl. Aeg. Illustr.	Descr. Egypte, Hist. Nat.
Fl. Aegypt. Illustr.	Descr. Egypte, Hist. Nat.
Fl. Egypt.	Descr. Egypte, Hist. Nat.
Fl. Egypte	Descr. Egypte, Hist. Nat.
Desc.	Descr. Pl. Rar.
Fauna Fl. Brit. Gui.	Reis. Br.-Guiana [Ri. Schomburgk]
L. S. Gibbs, Phytogeogr. & Fl. Arfak Mts.	Fl. Arfak Mts. [Gibbs]
in S.K. Murti & G. Panigrahi, Fl. Bilaspur Distr.	Fl. Bilaspur Distr.
in H. Ohba & S.B. Malla, Himalayan Pl., 2 (Univ. Mus. Tokyo Bull., 34)	Bull. Univ. Mus. Univ. Tokyo
Fl. Ingr. Gouv. St. Petersburg	Fl. Ingr. [Meinshausen]
Ind. Taur. ex Ledeb. Fl. Ross.	Fl. Ross. (Ledeb.)
in A.K. Skvortsov (ed.), Florist. issl. v razn. raionakh SSSR	Florist. Issl. Razn. Raionakh SSSR
in Endl. Gen.	Gen. Pl. [Endlicher]
in Fl. RSS Ucr.	Fl. URSR
in Bull. Jard. Bot. Princ. URSS,	Izv. Glavn. Bot. Sada S.S.S.R.
Bull. Jard. Bot. Petersb.	Izv. Imp. Bot. Sada Petra Velikago
in Schrad. Journ.	J. Bot. (Schrader)
in Pringsh. Jahrb.	Jahrb. Wiss. Bot.
Sarasin & Roux, Nova Caled.	Nova Caledonia, Bot.
in Torr. Bot. Mex. Bound.	Rep. U.S. Mex. Bound., Bot. [Emory]
in M.D. Dassanayake & F.R. Fosberg, eds., Revised Handb. Fl. Ceylon	Revis. Handb. Fl. Ceylon [Dassanayake]
in R.W. Haines & K.A. Lye, Sedges & Rushes E. Afr.	Sedges & Rushes E. Afr. (Haines & Lye)
in Jacquem. Voy. Bot.	Voy. Inde [Jacquemont]
World Cat. Euphorb.	World Cat. Species Names Published Tribe Euphorbieae (Euphorbiaceae) with their Geogr. Distrib.
in R. Govaerts, D.G. Frodin & A. Radcliffe-Smith, World Checklist & Bibliogr. Euphorbiaceae,	World Checkl. & Bibliogr. Euphorbiaceae
